president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Joe Biden,All polls,12/12/2022,3/15/2021,3/19/2021,Morning Consult,B,2200,a,.04882504,0,60,33,59.313655,35.761871,"","",https://assets.documentcloud.org/documents/20521096/210390_crosstabs_nbc_lx_vaccine_adults_v1_auto2.pdf,74554,140339,3/24/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/15/2021,3/21/2021,Morning Consult,B,45000,a,.14177016,0,55,36,54.313655,38.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74573,140391,3/26/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/15/2021,3/21/2021,Echelon Insights,B/C,1008,rv,1.2332903,0,51,44,49.244392,43.969539,"","",https://echeloninsights.com/in-the-news/march-omnibus-political/,74557,140346,3/24/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/17/2021,3/18/2021,Ipsos,B-,1005,a,.65454755,0,58.74,35.39,58.157959,35.979004,"","",https://www.ipsos.com/en-us/news_and_polls/reutersipsos-core-political-survey-presidential-approval-tracker-03182021,74525,140264,3/18/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/17/2021,3/21/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.12168764,0,49,49,49.57915,44.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74536,140286,3/22/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/16/2021,3/22/2021,Morning Consult,B,45000,a,.14072967,0,56,36,55.313655,38.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74574,140392,3/26/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/18/2021,3/20/2021,RMG Research,B-,1200,rv,.8806739,0,60,34,59.665045,34.475229,"","",https://scottrasmussen.com/mar-18/,74542,140295,3/22/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/17/2021,3/20/2021,American Research Group,C+,1100,a,1.0888222,0,60,34,59.301163,34.861198,"","",https://americanresearchgroup.com/economy/,74538,140290,3/22/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/17/2021,3/22/2021,Morning Consult,B,2200,a,.04781967,0,56,37,55.313655,39.761871,"","",https://morningconsult.com/2021/04/05/millennials-nfts-collectibles/,74749,140896,5/3/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/18/2021,3/22/2021,Morning Consult,B,2200,a,.04781967,0,58.5,35,57.813655,37.761871,*,"",https://assets.morningconsult.com/wp-uploads/2021/03/30154457/2103118_crosstabs_MC_ENTERTAINMENT_PROMOTIONS_Adults_v1_LM.pdf,74600,140480,4/4/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/17/2021,3/22/2021,Climate Nexus,"",1310,rv,.78938899,0,54,40,53.094305,40.495788,"","",https://climatenexus.org/wp-content/uploads/2015/09/Coronavirus-Covid19-National-Poll-Toplines.pdf,74585,140405,3/30/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/17/2021,3/23/2021,Morning Consult,B,45000,a,.13973279,0,55,36,54.313655,38.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74575,140393,3/26/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/18/2021,3/22/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.36263913,0,48,50,48.57915,45.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74548,140312,3/23/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/18/2021,3/24/2021,Morning Consult,B,45000,a,.13960391,0,55,36,54.313655,38.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74609,140510,4/7/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/19/2021,3/22/2021,Morning Consult,B,1994,rv,.04330203,0,57,40,56.313655,42.761871,"","",https://www.politico.com/f/?id=00000178-6298-d5c9-ab7c-e79a8aa50000,74553,140324,3/24/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/19/2021,3/22/2021,HarrisX,B+,2858,rv,1.2292702,0,60,40,56.365403,41.369763,"","",https://thehill.com/hilltv/what-americas-thinking/545144-poll-biden-approval-steady-at-60-percentt,74578,140397,3/26/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/20/2021,3/23/2021,YouGov,B+,1500,a,.81170231,0,49,41,49.768467,42.071732,"","",https://docs.cdn.yougov.com/5v6z1pywv7/econTabReport.pdf,74556,140342,3/24/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/19/2021,3/25/2021,Morning Consult,B,45000,a,.1395418,0,56,36,55.313655,38.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74610,140511,4/7/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/21/2021,3/23/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20055985,0,48,50,48.57915,45.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74555,140340,3/24/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/21/2021,3/22/2021,Redfield & Wilton Strategies,B/C,1500,rv,1.2486041,0,53,35,54.957173,40.9384,"","",https://redfieldandwiltonstrategies.com/over-half-of-americans-approve-of-bidens-presidency-so-far/,74566,140384,3/25/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/18/2021,3/26/2021,SurveyMonkey,C,16336,a,.34242517,0,56,42,55.453052,40.117402,"","",https://www.surveymonkey.com/curiosity/aapi-data-2021-discrimination/,74599,140478,4/3/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/20/2021,3/26/2021,Morning Consult,B,45000,a,.13948534,0,55,36,54.313655,38.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74611,140512,4/7/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/22/2021,3/24/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.2008168,0,47,51,47.57915,46.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74564,140381,3/25/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/23/2021,3/25/2021,YouGov,B+,1606,a,.88487031,0,53,36,53.768467,37.071732,"","",https://docs.cdn.yougov.com/64y3o2whv2/20210326_yahoo_vaccine_tabs.pdf,74580,140399,3/29/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/21/2021,3/27/2021,Morning Consult,B,45000,a,.13891556,0,55,36,54.313655,38.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74612,140513,4/7/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/23/2021,3/25/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.40151816,0,48,51,48.57915,46.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74576,140395,3/26/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/22/2021,3/25/2021,Marist College,A,1309,a,1.9824243,0,52,40,52.748324,40.149389,"","",http://maristpoll.marist.edu/wp-content/uploads/2021/03/NPR_Marist-Poll_USA-NOS-and-Tables_202103291133.pdf#page=3,74583,140402,3/30/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/23/2021,3/26/2021,Morning Consult,B,2140,a,.04605508,0,57,36.5,56.313655,39.261871,*,"",https://assets.morningconsult.com/wp-uploads/2021/03/29153913/2103140_crosstabs_MC_ENERGY_EV_DEALERS_Adults_v1.pdf#page=83,74586,140406,3/30/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/24/2021,3/25/2021,Harris Poll,B+,1945,rv,2.0605671,0,61,39,60.024316,39.140842,"","",https://drive.google.com/file/d/15Y0pZRJM6Vint71ltZYEG29r7x1nWH-4/view,74581,140400,3/29/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/22/2021,3/28/2021,Morning Consult,B,45000,a,.1383497,0,54,36,53.313655,38.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74613,140514,4/7/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/24/2021,3/25/2021,Ipsos,B-,1005,a,.60487883,0,53.46,40.66,52.877959,41.249004,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2021-03/2021_ipsos_tracking_-_core_political_presidential_approval_tracker_03_25_2021.pdf,74567,140385,3/25/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/24/2021,3/26/2021,HarrisX,B+,1882,rv,.86890966,0,61,39,57.365403,40.369763,"","",https://thehill.com/hilltv/what-americas-thinking/546186-poll-61-percent-approve-of-president-biden,74597,140471,4/2/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/23/2021,3/29/2021,Morning Consult,B,45000,a,.1380302,0,54,36,53.313655,38.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74614,140515,4/7/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/24/2021,3/28/2021,Morning Consult,B,2200,a,.047237,0,57,36,56.313655,38.761871,"","",https://assets.morningconsult.com/wp-uploads/2021/04/15142226/2103157_crosstabs_MC_FEATURES_SAFETY_POLICIES_Adults_v1_NP.pdf,74685,140731,4/22/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/25/2021,3/28/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,0,0,49,50,49.57915,45.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74579,140398,3/29/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/25/2021,3/29/2021,Navigator Research,B/C,1002,rv,.81031292,0,55,41,53.839265,40.280916,"","",https://navigatorresearch.org/wp-content/uploads/2021/04/Navigator-Toplines-03.29.21.pdf,74618,140540,4/8/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/24/2021,3/29/2021,GBAO,B/C,2000,rv,1.8040815,0,54,43,54.105565,42.0372,"","",https://cdn.americanprogress.org/content/uploads/2021/05/25075134/MorePerfectUnion2021-report1.pdf,74889,142685,6/3/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/25/2021,3/29/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.36607198,0,48,50,48.57915,45.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74582,140401,3/30/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/25/2021,3/29/2021,Morning Consult,B,2041,a,.04385347,0,55,38,54.313655,40.761871,"","",https://morningconsult.com/2021/03/31/how-many-us-adults-know-someone-who-died-of-covid/,74591,140442,3/31/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/24/2021,3/30/2021,Morning Consult,B,45000,a,.138126,0,54,36,53.313655,38.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74615,140516,4/7/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/26/2021,3/29/2021,AP-NORC,"",1166,a,1.5224839,0,61,38,58.620272,37.40198,"","",https://apnorc.org/wp-content/uploads/2021/03/Biden-topline.pdf,74590,140441,3/31/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/25/2021,3/31/2021,Morning Consult,B,45000,a,.13855865,0,54,36,53.313655,38.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74620,140546,4/8/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/26/2021,3/29/2021,Morning Consult,B,2043,rv,.04403394,0,58,39,57.313655,41.761871,"","",https://www.politico.com/f/?id=00000178-87a0-d59d-a7f9-bfefa78a0000,74588,140411,3/31/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/27/2021,3/30/2021,YouGov,B+,1500,a,.85708778,0,48,40,48.768467,41.071732,"","",https://docs.cdn.yougov.com/1kbp8xdx49/econTabReport.pdf,74589,140412,3/31/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/26/2021,4/1/2021,Morning Consult,B,45000,a,.13916011,0,54,36,53.313655,38.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74621,140547,4/8/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/28/2021,3/30/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20398467,0,49,49,49.57915,44.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74587,140410,3/31/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/27/2021,4/2/2021,Morning Consult,B,45000,a,.13977968,0,54,36,53.313655,38.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74622,140548,4/8/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/29/2021,3/31/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20504431,0,48,50,48.57915,45.733174,"",T,https://www.rasmussenreports.com/public_content/politics/political_updates/prez_track_april01,74593,140467,4/1/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/30/2021,4/1/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20578044,0,48,50,48.57915,45.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74595,140469,4/2/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/28/2021,4/3/2021,Morning Consult,B,45000,a,.14041755,0,54,36,53.313655,38.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74623,140549,4/8/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/31/2021,4/1/2021,Ipsos,B-,1005,a,.50979764,0,54,40.8,53.417959,41.389004,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2021-04/2021_ipsos_tracking_-_core_political_presidential_approval_tracker_04_01_2021.pdf,74594,140468,4/1/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/30/2021,4/2/2021,Morning Consult,B,2200,a,.04806887,0,57,36,56.313655,38.761871,*,"",https://assets.morningconsult.com/wp-uploads/2021/04/14162626/2103182_crosstabs_MC_ENERGY_EVS_Adults_v1_NP-3.pdf,74656,140633,4/15/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/29/2021,4/4/2021,Morning Consult,B,45000,a,.14046097,0,55,36,54.313655,38.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74624,140550,4/8/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/31/2021,4/3/2021,TIPP Insights,A+,1436,a,2.606517,0,53,33,53.493644,37.437535,"","",https://www.investors.com/politics/biden-approval-rating-still-high-amid-infrastructure-tax-hike-push-ibd-tipp-april-2021/,74604,140487,4/5/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/30/2021,4/5/2021,Morning Consult,B,45000,a,.14076177,0,55,36,54.313655,38.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74625,140551,4/8/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/31/2021,4/4/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.12405401,0,47,51,47.57915,46.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74602,140484,4/5/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/2/2021,4/4/2021,Morning Consult,B,2200,a,.04809559,0,57,37,56.313655,39.761871,"","",https://assets.morningconsult.com/wp-uploads/2021/04/05144134/210419_crosstabs_MC_SPORTS_MLB_ASG_Adults_v2_SH.pdf,74605,140488,4/5/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/1/2021,4/5/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.37103201,0,47,51,47.57915,46.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74607,140492,4/6/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,3/31/2021,4/6/2021,Morning Consult,B,45000,a,.14053905,0,55,36,54.313655,38.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74626,140552,4/8/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/2/2021,4/4/2021,Morning Consult,B,2200,a,.04809559,0,54,39,53.313655,41.761871,"","",https://assets.morningconsult.com/wp-uploads/2021/04/07064708/210410_crosstabs_MC_HEALTH_VACCINE_CARD_Adults_v1_NP.pdf,74608,140494,4/7/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/1/2021,4/7/2021,Morning Consult,B,45000,a,.14122187,0,55,36,54.313655,38.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74646,140619,4/15/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/2/2021,4/5/2021,HarrisX,B+,2732,rv,1.2173309,0,61,39,57.365403,40.369763,"","",https://thehill.com/hilltv/what-americas-thinking/547354-poll-biden-approval-steady-at-61-percent,74629,140555,4/9/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/2/2021,4/8/2021,Morning Consult,B,45000,a,.14189037,0,55,36,54.313655,38.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74647,140620,4/15/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/4/2021,4/6/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20595882,0,49,50,49.57915,45.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74617,140539,4/7/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/3/2021,4/6/2021,YouGov,B+,1500,a,.84144136,0,49,41,49.768467,42.071732,"","",https://docs.cdn.yougov.com/4243y0nkbo/econTabReport.pdf,74616,140517,4/7/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/3/2021,4/9/2021,Morning Consult,B,45000,a,.14240449,0,55,36,54.313655,38.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74648,140621,4/15/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/5/2021,4/7/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20624005,0,51,48,51.57915,43.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74619,140541,4/8/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/6/2021,4/8/2021,YouGov,B+,1649,a,.91302044,0,52,38,52.768467,39.071732,"","",https://docs.cdn.yougov.com/y4mb321uuq/20210406_yahoo_vaccine_tabs.pdf,74631,140557,4/12/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/6/2021,4/8/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20666222,0,50,48,50.57915,43.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74628,140554,4/9/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/4/2021,4/10/2021,Morning Consult,B,45000,a,.14253183,0,55,36,54.313655,38.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74649,140622,4/15/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/7/2021,4/8/2021,Ipsos,B-,1005,a,.28386398,0,56.17,37.46,55.587959,38.049004,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2021-04/2021_ipsos_tracking_-_core_political_presidential_approval_tracker_04_08_2021_1.pdf,74627,140553,4/8/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/5/2021,4/11/2021,Pew Research Center,B/C,5109,a,2.7815499,0,59,39,59.077041,37.267368,"","",https://www.pewresearch.org/politics/2021/04/15/views-of-biden-the-administration-and-congressional-leaders/,74654,140631,4/15/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/5/2021,4/11/2021,Morning Consult,B,45000,a,.14220697,0,54,37,53.313655,39.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74650,140623,4/15/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/7/2021,4/11/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.12419717,0,50,48,50.57915,43.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74630,140556,4/12/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/6/2021,4/12/2021,Morning Consult,B,45000,a,.14170067,0,55,36,54.313655,38.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74651,140624,4/15/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/7/2021,4/11/2021,The Winston Group,A/B,1000,rv,1.6152162,0,54,35,53.726239,37.588777,"","",https://www.winningtheissues.org/wp-content/uploads/2021/08/Winning-the-Issues-April-2021-National-Survey.pdf,75474,143970,8/6/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/8/2021,4/11/2021,Hart Research Associates/Public Opinion Strategies,B+,802,a,1.0579122,0,47,41,47.307041,40.813883,"","",https://www.cnbc.com/2021/04/15/biden-starts-off-presidency-with-positive-approval-marks-cnbc-survey-shows.html,74655,140632,4/15/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/8/2021,4/12/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.3708973,0,50,48,50.57915,43.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74632,140558,4/13/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/8/2021,4/12/2021,Navigator Research,B/C,1256,rv,.93557803,0,55,42,53.839265,41.280916,"","",https://navigatorresearch.org/wp-content/uploads/2021/04/Navigator-Toplines-04.13.2021.pdf,74658,140636,4/16/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/7/2021,4/13/2021,Morning Consult,B,45000,a,.14120362,0,55,36,54.313655,38.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74652,140625,4/15/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/8/2021,4/12/2021,Quinnipiac University,A-,1237,a,1.8303486,0,48,42,51.767641,41.548074,"","",https://poll.qu.edu/poll-release?releaseid=3808,74641,140610,4/14/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/7/2021,4/13/2021,Marist College,A,1266,a,1.774873,0,53,39,53.748324,39.149389,"","",http://maristpoll.marist.edu/npr-pbs-newshour-marist-poll-biden-and-infrastructure-tables-april-2021/#sthash.1ARm3hjV.6zfBgHAK.dpbs,74645,140617,4/15/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/8/2021,4/12/2021,Monmouth University,A,800,a,1.516694,0,54,41,55.224153,40.946317,"","",https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_041421.pdf/,74640,140606,4/14/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/8/2021,4/14/2021,Morning Consult,B,45000,a,.14041846,0,54,37,53.313655,39.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74687,140734,4/22/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/9/2021,4/12/2021,Civiqs,B-,1541,rv,1.4885865,0,48,47,50.199592,44.703284,"","",https://civiqs.com/documents/Civiqs_DailyKos_monthly_banner_book_2021_04_e12gh4.pdf,74635,140576,4/14/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/8/2021,4/13/2021,McLaughlin & Associates,C/D,1000,lv,.76990828,0,57.5,40.5,56.397378,39.327801,"","",https://www.ammoland.com/2021/04/new-mclaughlin-poll-strong-2a-support-not-so-much-for-exec-orders/#axzz6sCmt62BU,74665,140643,4/16/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/9/2021,4/13/2021,HarrisX,B+,3766,rv,1.4980229,0,61,39,57.365403,40.369763,"","",https://thehill.com/hilltv/what-americas-thinking/548704-poll-58-percent-approve-of-bidens-job-on-fighting-terrorism,74666,140653,4/16/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/1/2021,4/21/2021,Gallup,B+,961,a,1.4844665,0,57,40,56.92659,39.043474,"","",https://news.gallup.com/poll/348974/biden-job-approval-respectable-100-days.aspx,74700,140749,4/23/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/9/2021,4/12/2021,Morning Consult,B,1992,rv,.043511,0,59,37,58.313655,39.761871,"","",https://www.politico.com/f/?id=00000178-cfbd-d07a-ad78-dfbfde3a0000,74634,140561,4/14/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/10/2021,4/13/2021,YouGov,B+,1500,a,.84762157,0,50,41,50.768467,42.071732,"","",https://docs.cdn.yougov.com/wvjmyy0dlk/econTabReport.pdf,74638,140580,4/14/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/9/2021,4/15/2021,Morning Consult,B,45000,a,.14000701,0,54,37,53.313655,39.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74688,140735,4/22/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/11/2021,4/13/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20604761,0,50,48,50.57915,43.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74637,140579,4/14/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/12/2021,4/14/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20680641,0,50,48,50.57915,43.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74642,140612,4/15/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/10/2021,4/16/2021,Morning Consult,B,45000,a,.13554136,0,55,37,54.313655,39.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74689,140736,4/22/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/12/2021,4/16/2021,Ipsos,B-,4423,a,.90991023,0,55,40,54.417959,40.589004,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2021-05/Reuters%20Ipsos%20Large%20Issue%20Poll%20%232%20Topline%20%20Write-up%20-%20Biden%20100%20Days%20-%2012%20April%20thru%2016%20April%202021.pdf,74812,142360,5/19/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/12/2021,4/16/2021,Ipsos,B-,4423,a,.90991023,0,55,40,54.417959,40.589004,"","",https://www.reuters.com/article/us-usa-biden-poll/biden-fares-better-than-trump-over-his-first-100-days-reuters-ipsos-poll-idUSKBN2CE12O,74717,140784,4/27/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/13/2021,4/15/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20722969,0,49,49,49.57915,44.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74664,140644,4/16/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,4/11/2021,4/17/2021,Morning Consult,B,45000,a,.13144238,0,54,37,53.313655,39.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74690,140737,4/22/2021,10:46:46 12 Dec 2022
