Year,State,PartyColor,ElectoralVote,Winner
1984,New Mexico,Republican,5,Ronald Reagan
1984,New York,Republican,36,Ronald Reagan
1984,North Carolina,Republican,13,Ronald Reagan
1984,North Dakota,Republican,3,Ronald Reagan
1984,Ohio,Republican,23,Ronald Reagan
1984,Oklahoma,Republican,8,Ronald Reagan
1984,Oregon,Republican,7,Ronald Reagan
1984,Pennsylvania,Republican,25,Ronald Reagan
1984,Rhode Island,Republican,4,Ronald Reagan
1984,South Carolina,Republican,8,Ronald Reagan
1984,South Dakota,Republican,3,Ronald Reagan
1984,Tennessee,Republican,11,Ronald Reagan
1984,Texas,Republican,29,Ronald Reagan
1984,Utah,Republican,5,Ronald Reagan
1984,Vermont,Republican,3,Ronald Reagan
1984,Virginia,Republican,12,Ronald Reagan
1984,Washington,Republican,10,Ronald Reagan
1984,West Virginia,Republican,6,Ronald Reagan
1984,Wisconsin,Republican,11,Ronald Reagan
1984,Wyoming,Republican,3,Ronald Reagan
1984,"Washington, D.C.",Democrat,3,Walter F. Mondale
1980,Alabama,Republican,9,Ronald Reagan
1980,Alaska,Republican,3,Ronald Reagan
1980,Arizona,Republican,6,Ronald Reagan
1980,Arkansas,Republican,6,Ronald Reagan
1980,California,Republican,45,Ronald Reagan
1980,Colorado,Republican,7,Ronald Reagan
1980,Connecticut,Republican,8,Ronald Reagan
1980,Delaware,Republican,3,Ronald Reagan
1980,Florida,Republican,17,Ronald Reagan
1980,Georgia,Democrat,12,Jimmy Carter
1980,Hawaii,Democrat,4,Jimmy Carter
1980,Idaho,Republican,4,Ronald Reagan
1980,Illinois,Republican,26,Ronald Reagan
1980,Indiana,Republican,13,Ronald Reagan
1980,Iowa,Republican,8,Ronald Reagan
1980,Kansas,Republican,7,Ronald Reagan
1980,Kentucky,Republican,9,Ronald Reagan
1980,Louisiana,Republican,10,Ronald Reagan
1980,Maine,Republican,2,Ronald Reagan
1980,Maine CD-1,Republican,1,Ronald Reagan
1980,Maine CD-2,Republican,1,Ronald Reagan
1980,Maryland,Democrat,10,Jimmy Carter
1980,Massachusetts,Republican,14,Ronald Reagan
1980,Michigan,Republican,21,Ronald Reagan
1980,Minnesota,Democrat,10,Jimmy Carter
1980,Mississippi,Republican,7,Ronald Reagan
1980,Missouri,Republican,12,Ronald Reagan
1980,Montana,Republican,4,Ronald Reagan
1980,Nebraska,Republican,5,Ronald Reagan
1980,Nevada,Republican,3,Ronald Reagan
1980,New Hampshire,Republican,4,Ronald Reagan
1980,New Jersey,Republican,17,Ronald Reagan
1980,New Mexico,Republican,4,Ronald Reagan
1980,New York,Republican,41,Ronald Reagan
1980,North Carolina,Republican,13,Ronald Reagan
1980,North Dakota,Republican,3,Ronald Reagan
1980,Ohio,Republican,25,Ronald Reagan
1980,Oklahoma,Republican,8,Ronald Reagan
1980,Oregon,Republican,6,Ronald Reagan
1980,Pennsylvania,Republican,27,Ronald Reagan
1980,Rhode Island,Democrat,4,Jimmy Carter
1980,South Carolina,Republican,8,Ronald Reagan
1980,South Dakota,Republican,3,Ronald Reagan
1980,Tennessee,Republican,10,Ronald Reagan
1980,Texas,Republican,26,Ronald Reagan
1980,Utah,Republican,4,Ronald Reagan
1980,Vermont,Republican,3,Ronald Reagan
1980,Virginia,Republican,12,Ronald Reagan
1980,Washington,Republican,9,Ronald Reagan
1980,West Virginia,Democrat,6,Jimmy Carter
1980,Wisconsin,Republican,11,Ronald Reagan
1980,Wyoming,Republican,3,Ronald Reagan
1980,"Washington, D.C.",Democrat,3,Jimmy Carter
1976,Alabama,Democrat,9,Jimmy Carter
1976,Alaska,Republican,3,Gerald R. Ford
1976,Arizona,Republican,6,Gerald R. Ford
1976,Arkansas,Democrat,6,Jimmy Carter
1976,California,Republican,45,Gerald R. Ford
1976,Colorado,Republican,7,Gerald R. Ford
1976,Connecticut,Republican,8,Gerald R. Ford
1976,Delaware,Democrat,3,Jimmy Carter
1976,Florida,Democrat,17,Jimmy Carter
1976,Georgia,Democrat,12,Jimmy Carter
1976,Hawaii,Democrat,4,Jimmy Carter
1976,Idaho,Republican,4,Gerald R. Ford
1976,Illinois,Republican,26,Gerald R. Ford
1976,Indiana,Republican,13,Gerald R. Ford
1976,Iowa,Republican,8,Gerald R. Ford
1976,Kansas,Republican,7,Gerald R. Ford
1976,Kentucky,Democrat,9,Jimmy Carter
1976,Louisiana,Democrat,10,Jimmy Carter
1976,Maine,Republican,2,Gerald R. Ford
1976,Maine CD-1,Republican,1,Gerald R. Ford
1976,Maine CD-2,Republican,1,Gerald R. Ford
1976,Maryland,Democrat,10,Jimmy Carter
1976,Massachusetts,Democrat,14,Jimmy Carter
1976,Michigan,Republican,21,Gerald R. Ford
1976,Minnesota,Democrat,10,Jimmy Carter
1976,Mississippi,Democrat,7,Jimmy Carter
1976,Missouri,Democrat,12,Jimmy Carter
1976,Montana,Republican,4,Gerald R. Ford
1976,Nebraska,Republican,5,Gerald R. Ford
1976,Nevada,Republican,3,Gerald R. Ford
1976,New Hampshire,Republican,4,Gerald R. Ford
1976,New Jersey,Republican,17,Gerald R. Ford
1976,New Mexico,Republican,4,Gerald R. Ford
1976,New York,Democrat,41,Jimmy Carter
1976,North Carolina,Democrat,13,Jimmy Carter
1976,North Dakota,Republican,3,Gerald R. Ford
1976,Ohio,Democrat,25,Jimmy Carter
1976,Oklahoma,Republican,8,Gerald R. Ford
1976,Oregon,Republican,6,Gerald R. Ford
1976,Pennsylvania,Democrat,27,Jimmy Carter
1976,Rhode Island,Democrat,4,Jimmy Carter
1976,South Carolina,Democrat,8,Jimmy Carter
1976,South Dakota,Republican,4,Gerald R. Ford
1976,Tennessee,Democrat,10,Jimmy Carter
1976,Texas,Democrat,26,Jimmy Carter
1976,Utah,Republican,4,Gerald R. Ford
1976,Vermont,Republican,3,Gerald R. Ford
1976,Virginia,Republican,12,Gerald R. Ford
1976,Washington,Republican,8,Gerald R. Ford
1976,West Virginia,Democrat,6,Jimmy Carter
1976,Wisconsin,Democrat,11,Jimmy Carter
1976,Wyoming,Republican,3,Gerald R. Ford
1976,"Washington, D.C.",Democrat,3,Jimmy Carter
1972,Alabama,Republican,9,Richard M. Nixon
1972,Alaska,Republican,3,Richard M. Nixon
1972,Arizona,Republican,6,Richard M. Nixon
1972,Arkansas,Republican,6,Richard M. Nixon
1972,California,Republican,45,Richard M. Nixon
1972,Colorado,Republican,7,Richard M. Nixon
1972,Connecticut,Republican,8,Richard M. Nixon
1972,Delaware,Republican,3,Richard M. Nixon
1972,Florida,Republican,17,Richard M. Nixon
1972,Georgia,Republican,12,Richard M. Nixon
1972,Hawaii,Republican,4,Richard M. Nixon
1972,Idaho,Republican,4,Richard M. Nixon
1972,Illinois,Republican,26,Richard M. Nixon
1972,Indiana,Republican,13,Richard M. Nixon
1972,Iowa,Republican,8,Richard M. Nixon
1972,Kansas,Republican,7,Richard M. Nixon
1972,Kentucky,Republican,9,Richard M. Nixon
1972,Louisiana,Republican,10,Richard M. Nixon
1972,Maine,Republican,2,Richard M. Nixon
1972,Maine CD-1,Republican,1,Richard M. Nixon
1972,Maine CD-2,Republican,1,Richard M. Nixon
1972,Maryland,Republican,10,Richard M. Nixon
1972,Massachusetts,Democrat,14,George McGovern
1972,Michigan,Republican,21,Richard M. Nixon
1972,Minnesota,Republican,10,Richard M. Nixon
1972,Mississippi,Republican,7,Richard M. Nixon
1972,Missouri,Republican,12,Richard M. Nixon
1972,Montana,Republican,4,Richard M. Nixon
1972,Nebraska,Republican,5,Richard M. Nixon
1972,Nevada,Republican,3,Richard M. Nixon
1972,New Hampshire,Republican,4,Richard M. Nixon
1972,New Jersey,Republican,17,Richard M. Nixon
1972,New Mexico,Republican,4,Richard M. Nixon
1972,New York,Republican,41,Richard M. Nixon
1972,North Carolina,Republican,13,Richard M. Nixon
1972,North Dakota,Republican,3,Richard M. Nixon
1972,Ohio,Republican,25,Richard M. Nixon
1972,Oklahoma,Republican,8,Richard M. Nixon
1972,Oregon,Republican,6,Richard M. Nixon
1972,Pennsylvania,Republican,27,Richard M. Nixon
1972,Rhode Island,Republican,4,Richard M. Nixon
1972,South Carolina,Republican,8,Richard M. Nixon
1972,South Dakota,Republican,4,Richard M. Nixon
1972,Tennessee,Republican,10,Richard M. Nixon
1972,Texas,Republican,26,Richard M. Nixon
1972,Utah,Republican,4,Richard M. Nixon
1972,Vermont,Republican,3,Richard M. Nixon
1972,Virginia,Republican,11,Richard M. Nixon
1972,Washington,Republican,9,Richard M. Nixon
1972,West Virginia,Republican,6,Richard M. Nixon
1972,Wisconsin,Republican,11,Richard M. Nixon
1972,Wyoming,Republican,3,Richard M. Nixon
1972,"Washington, D.C.",Democrat,3,George McGovern
1968,Alabama,American Independent,10,George C. Wallace
1968,Alaska,Republican,3,Richard M. Nixon
1968,Arizona,Republican,5,Richard M. Nixon
1968,Arkansas,American Independent,6,George C. Wallace
1968,California,Republican,40,Richard M. Nixon
1968,Colorado,Republican,6,Richard M. Nixon
1968,Connecticut,Democrat,8,Hubert H. Humphrey
1968,Delaware,Republican,3,Richard M. Nixon
1968,Florida,Republican,14,Richard M. Nixon
1968,Georgia,American Independent,12,George C. Wallace
1968,Hawaii,Democrat,4,Hubert H. Humphrey
1968,Idaho,Republican,4,Richard M. Nixon
1968,Illinois,Republican,26,Richard M. Nixon
1968,Indiana,Republican,13,Richard M. Nixon
1968,Iowa,Republican,9,Richard M. Nixon
1968,Kansas,Republican,7,Richard M. Nixon
1968,Kentucky,Republican,9,Richard M. Nixon
1968,Louisiana,American Independent,10,George C. Wallace
1968,Maine,Democrat,4,Hubert H. Humphrey
1968,Maryland,Democrat,10,Hubert H. Humphrey
1968,Massachusetts,Democrat,14,Hubert H. Humphrey
1968,Michigan,Democrat,21,Hubert H. Humphrey
1968,Minnesota,Democrat,10,Hubert H. Humphrey
1968,Mississippi,American Independent,7,George C. Wallace
1968,Missouri,Republican,12,Richard M. Nixon
1968,Montana,Republican,4,Richard M. Nixon
1968,Nebraska,Republican,5,Richard M. Nixon
1968,Nevada,Republican,3,Richard M. Nixon
1968,New Hampshire,Republican,4,Richard M. Nixon
1968,New Jersey,Republican,17,Richard M. Nixon
1968,New Mexico,Republican,4,Richard M. Nixon
1968,New York,Democrat,43,Hubert H. Humphrey
1968,North Carolina,Republican,12,Richard M. Nixon
1968,North Dakota,Republican,4,Richard M. Nixon
1968,Ohio,Republican,26,Richard M. Nixon
1968,Oklahoma,Republican,8,Richard M. Nixon
1968,Oregon,Republican,6,Richard M. Nixon
1968,Pennsylvania,Democrat,29,Hubert H. Humphrey
1968,Rhode Island,Democrat,4,Hubert H. Humphrey
1968,South Carolina,Republican,8,Richard M. Nixon
1968,South Dakota,Republican,4,Richard M. Nixon
1968,Tennessee,Republican,11,Richard M. Nixon
1968,Texas,Democrat,25,Hubert H. Humphrey
1968,Utah,Republican,4,Richard M. Nixon
1968,Vermont,Republican,3,Richard M. Nixon
1968,Virginia,Republican,12,Richard M. Nixon
1968,Washington,Democrat,9,Hubert H. Humphrey
1968,West Virginia,Democrat,7,Hubert H. Humphrey
1968,Wisconsin,Republican,12,Richard M. Nixon
1968,Wyoming,Republican,3,Richard M. Nixon
1968,"Washington, D.C.",Democrat,3,Hubert H. Humphrey
1964,Alabama,Republican,10,Barry M. Goldwater
1964,Alaska,Democrat,3,Lyndon B. Johnson
1964,Arizona,Republican,5,Barry M. Goldwater
1964,Arkansas,Democrat,6,Lyndon B. Johnson
1964,California,Democrat,40,Lyndon B. Johnson
1964,Colorado,Democrat,6,Lyndon B. Johnson
1964,Connecticut,Democrat,8,Lyndon B. Johnson
1964,Delaware,Democrat,3,Lyndon B. Johnson
1964,Florida,Democrat,14,Lyndon B. Johnson
1964,Georgia,Republican,12,Barry M. Goldwater
1964,Hawaii,Democrat,4,Lyndon B. Johnson
1964,Idaho,Democrat,4,Lyndon B. Johnson
1964,Illinois,Democrat,26,Lyndon B. Johnson
1964,Indiana,Democrat,13,Lyndon B. Johnson
1964,Iowa,Democrat,9,Lyndon B. Johnson
1964,Kansas,Democrat,7,Lyndon B. Johnson
1964,Kentucky,Democrat,9,Lyndon B. Johnson
1964,Louisiana,Republican,10,Barry M. Goldwater
1964,Maine,Democrat,4,Lyndon B. Johnson
1964,Maryland,Democrat,10,Lyndon B. Johnson
1964,Massachusetts,Democrat,14,Lyndon B. Johnson
1964,Michigan,Democrat,21,Lyndon B. Johnson
1964,Minnesota,Democrat,10,Lyndon B. Johnson
1964,Mississippi,Republican,7,Barry M. Goldwater
1964,Missouri,Democrat,12,Lyndon B. Johnson
1964,Montana,Democrat,4,Lyndon B. Johnson
1964,Nebraska,Democrat,5,Lyndon B. Johnson
1964,Nevada,Democrat,3,Lyndon B. Johnson
1964,New Hampshire,Democrat,4,Lyndon B. Johnson
1964,New Jersey,Democrat,17,Lyndon B. Johnson
1964,New Mexico,Democrat,4,Lyndon B. Johnson
1964,New York,Democrat,43,Lyndon B. Johnson
1964,North Carolina,Democrat,13,Lyndon B. Johnson
1964,North Dakota,Democrat,4,Lyndon B. Johnson
1964,Ohio,Democrat,26,Lyndon B. Johnson
1964,Oklahoma,Democrat,8,Lyndon B. Johnson
1964,Oregon,Democrat,6,Lyndon B. Johnson
1964,Pennsylvania,Democrat,29,Lyndon B. Johnson
1964,Rhode Island,Democrat,4,Lyndon B. Johnson
1964,South Carolina,Republican,8,Barry M. Goldwater
1964,South Dakota,Democrat,4,Lyndon B. Johnson
1964,Tennessee,Democrat,11,Lyndon B. Johnson
1964,Texas,Democrat,25,Lyndon B. Johnson
1964,Utah,Democrat,4,Lyndon B. Johnson
1964,Vermont,Democrat,3,Lyndon B. Johnson
1964,Virginia,Democrat,12,Lyndon B. Johnson
1964,Washington,Democrat,9,Lyndon B. Johnson
1964,West Virginia,Democrat,7,Lyndon B. Johnson
1964,Wisconsin,Democrat,12,Lyndon B. Johnson
1964,Wyoming,Democrat,3,Lyndon B. Johnson
1964,"Washington, D.C.",Democrat,3,Lyndon B. Johnson
1960,Alabama,Democrat,5,John F. Kennedy
1960,Alabama-2,Democrat-2,6,Harry F. Byrd
1960,Alaska,Republican,3,Richard M. Nixon
1960,Arizona,Republican,4,Richard M. Nixon
1960,Arkansas,Democrat,8,John F. Kennedy
1960,California,Republican,32,Richard M. Nixon
1960,Colorado,Republican,6,John F. Kennedy
1960,Connecticut,Democrat,8,John F. Kennedy
1960,Delaware,Democrat,3,John F. Kennedy
1960,Florida,Republican,10,Richard M. Nixon
1960,Georgia,Democrat,12,John F. Kennedy
1960,Hawaii,Democrat,3,John F. Kennedy
1960,Idaho,Republican,4,Richard M. Nixon
1960,Illinois,Democrat,27,John F. Kennedy
1960,Indiana,Republican,13,Richard M. Nixon
1960,Iowa,Republican,10,Richard M. Nixon
1960,Kansas,Republican,8,Richard M. Nixon
1960,Kentucky,Republican,10,Richard M. Nixon
1960,Louisiana,Democrat,10,John F. Kennedy
1960,Maine,Republican,4,Richard M. Nixon
1960,Maryland,Democrat,9,John F. Kennedy
1960,Massachusetts,Democrat,16,John F. Kennedy
1960,Michigan,Democrat,20,John F. Kennedy
1960,Minnesota,Democrat,11,John F. Kennedy
1960,Mississippi,Democrat-2,8,Harry F. Byrd
1960,Missouri,Democrat,13,John F. Kennedy
1960,Montana,Republican,4,Richard M. Nixon
1960,Nebraska,Republican,6,Richard M. Nixon
1960,Nevada,Democrat,3,John F. Kennedy
1960,New Hampshire,Republican,4,Richard M. Nixon
1960,New Jersey,Democrat,16,John F. Kennedy
1960,New Mexico,Democrat,4,John F. Kennedy
1960,New York,Democrat,45,John F. Kennedy
1960,North Carolina,Democrat,14,John F. Kennedy
1960,North Dakota,Republican,4,Richard M. Nixon
1960,Ohio,Republican,25,Richard M. Nixon
1960,Oklahoma,Republican,7,Richard M. Nixon
1960,Oklahoma-2,Democrat-2,1,Harry F. Byrd
1960,Oregon,Republican,7,Richard M. Nixon
1960,Pennsylvania,Republican,32,Richard M. Nixon
1960,Rhode Island,Democrat,4,John F. Kennedy
1960,South Carolina,Democrat,8,John F. Kennedy
1960,South Dakota,Republican,4,Richard M. Nixon
1960,Tennessee,Republican,11,Richard M. Nixon
1960,Texas,Democrat,24,John F. Kennedy
1960,Utah,Republican,4,Richard M. Nixon
1960,Vermont,Republican,3,Richard M. Nixon
1960,Virginia,Republican,12,Richard M. Nixon
1960,Washington,Republican,9,Richard M. Nixon
1960,West Virginia,Democrat,8,John F. Kennedy
1960,Wisconsin,Republican,12,Richard M. Nixon
1960,Wyoming,Republican,3,Richard M. Nixon
1960,"Washington, D.C.",Vacant State,0,
1956,Alabama,Democrat,10,Adlai Stevenson
1956,Alaska,Vacant State,0,
1956,Arizona,Republican,4,Dwight D. Eisenhower
1956,Arkansas,Democrat,8,Adlai Stevenson
1956,California,Republican,32,Dwight D. Eisenhower
1956,Colorado,Republican,6,Dwight D. Eisenhower
1956,Connecticut,Republican,8,Dwight D. Eisenhower
1956,Delaware,Republican,3,Dwight D. Eisenhower
1956,Florida,Republican,10,Dwight D. Eisenhower
1956,Georgia,Democrat,12,Adlai Stevenson
1956,Hawaii,Vacant State,0,
1956,Idaho,Republican,4,Dwight D. Eisenhower
1956,Illinois,Republican,27,Dwight D. Eisenhower
1956,Indiana,Republican,13,Dwight D. Eisenhower
1956,Iowa,Republican,10,Dwight D. Eisenhower
1956,Kansas,Republican,8,Dwight D. Eisenhower
1956,Kentucky,Republican,10,Dwight D. Eisenhower
1956,Louisiana,Republican,10,Dwight D. Eisenhower
1956,Maine,Republican,5,Dwight D. Eisenhower
1956,Maryland,Republican,9,Dwight D. Eisenhower
1956,Massachusetts,Republican,16,Dwight D. Eisenhower
1956,Michigan,Republican,20,Dwight D. Eisenhower
1956,Minnesota,Republican,11,Dwight D. Eisenhower
1956,Mississippi,Democrat,8,Adlai Stevenson
1956,Missouri,Democrat,13,Adlai Stevenson
1956,Montana,Republican,4,Dwight D. Eisenhower
1956,Nebraska,Republican,6,Dwight D. Eisenhower
1956,Nevada,Republican,3,Dwight D. Eisenhower
1956,New Hampshire,Republican,4,Dwight D. Eisenhower
1956,New Jersey,Republican,16,Dwight D. Eisenhower
1956,New Mexico,Republican,4,Dwight D. Eisenhower
1956,New York,Republican,45,Dwight D. Eisenhower
1956,North Carolina,Democrat,14,Adlai Stevenson
1956,North Dakota,Republican,4,Dwight D. Eisenhower
1956,Ohio,Republican,25,Dwight D. Eisenhower
1956,Oklahoma,Republican,8,Dwight D. Eisenhower
1956,Oregon,Republican,6,Dwight D. Eisenhower
1956,Pennsylvania,Republican,32,Dwight D. Eisenhower
1956,Rhode Island,Republican,4,Dwight D. Eisenhower
1956,South Carolina,Democrat,8,Adlai Stevenson
1956,South Dakota,Republican,4,Dwight D. Eisenhower
1956,Tennessee,Republican,11,Dwight D. Eisenhower
1956,Texas,Republican,24,Dwight D. Eisenhower
1956,Utah,Republican,4,Dwight D. Eisenhower
1956,Vermont,Republican,3,Dwight D. Eisenhower
1956,Virginia,Republican,12,Dwight D. Eisenhower
1956,Washington,Republican,9,Dwight D. Eisenhower
1956,West Virginia,Republican,8,Dwight D. Eisenhower
1956,Wisconsin,Republican,12,Dwight D. Eisenhower
1956,Wyoming,Republican,3,Dwight D. Eisenhower
1956,"Washington, D.C.",Vacant State,0,
1952,Alabama,Democrat,11,Adlai Stevenson
1952,Alaska,Vacant State,0,
1952,Arizona,Republican,4,Dwight D. Eisenhower
1952,Arkansas,Democrat,8,Adlai Stevenson
1952,California,Republican,32,Dwight D. Eisenhower
1952,Colorado,Republican,6,Dwight D. Eisenhower
1952,Connecticut,Republican,8,Dwight D. Eisenhower
1952,Delaware,Republican,3,Dwight D. Eisenhower
1952,Florida,Republican,10,Dwight D. Eisenhower
1952,Georgia,Democrat,12,Adlai Stevenson
1952,Hawaii,Vacant State,0,
1952,Idaho,Republican,4,Dwight D. Eisenhower
1952,Illinois,Republican,27,Dwight D. Eisenhower
1952,Indiana,Republican,13,Dwight D. Eisenhower
1952,Iowa,Republican,10,Dwight D. Eisenhower
1952,Kansas,Republican,8,Dwight D. Eisenhower
1952,Kentucky,Democrat,10,Adlai Stevenson
1952,Louisiana,Democrat,10,Adlai Stevenson
1952,Maine,Republican,5,Dwight D. Eisenhower
1952,Maryland,Republican,9,Dwight D. Eisenhower
1952,Massachusetts,Republican,16,Dwight D. Eisenhower
1952,Michigan,Republican,20,Dwight D. Eisenhower
1952,Minnesota,Republican,11,Dwight D. Eisenhower
1952,Mississippi,Republican,8,Adlai Stevenson
1952,Missouri,Democrat,13,Adlai Stevenson
1952,Montana,Republican,4,Dwight D. Eisenhower
1952,Nebraska,Republican,6,Dwight D. Eisenhower
1952,Nevada,Republican,3,Dwight D. Eisenhower
1952,New Hampshire,Republican,4,Dwight D. Eisenhower
1952,New Jersey,Republican,16,Dwight D. Eisenhower
1952,New Mexico,Republican,4,Dwight D. Eisenhower
1952,New York,Republican,45,Dwight D. Eisenhower
1952,North Carolina,Democrat,14,Adlai Stevenson
1952,North Dakota,Republican,4,Dwight D. Eisenhower
1952,Ohio,Republican,25,Dwight D. Eisenhower
1952,Oklahoma,Republican,8,Dwight D. Eisenhower
1952,Oregon,Republican,6,Dwight D. Eisenhower
1952,Pennsylvania,Republican,32,Dwight D. Eisenhower
1952,Rhode Island,Republican,4,Dwight D. Eisenhower
1952,South Carolina,Democrat,8,Adlai Stevenson
1952,South Dakota,Republican,4,Dwight D. Eisenhower
1952,Tennessee,Republican,11,Dwight D. Eisenhower
1952,Texas,Republican,24,Dwight D. Eisenhower
1952,Utah,Republican,4,Dwight D. Eisenhower
1952,Vermont,Republican,3,Dwight D. Eisenhower
1952,Virginia,Republican,12,Dwight D. Eisenhower
1952,Washington,Republican,9,Dwight D. Eisenhower
1952,West Virginia,Democrat,8,Adlai Stevenson
1952,Wisconsin,Republican,12,Dwight D. Eisenhower
1952,Wyoming,Republican,3,Dwight D. Eisenhower
1952,"Washington, D.C.",Vacant State,0,
1948,Alabama,States' Rights Democrat,11,J. Strom Thurmond
1948,Alaska,Vacant State,0,
1948,Arizona,Democrat,4,Harry S. Truman
1948,Arkansas,Democrat,9,Harry S. Truman
1948,California,Democrat,25,Harry S. Truman
1948,Colorado,Democrat,6,Harry S. Truman
1948,Connecticut,Republican,8,Thomas E. Dewey
1948,Delaware,Republican,3,Thomas E. Dewey
1948,Florida,Democrat,8,Harry S. Truman
1948,Georgia,States' Rights Democrat,12,J. Strom Thurmond
1948,Hawaii,Vacant State,0,
1948,Idaho,Democrat,4,Harry S. Truman
1948,Illinois,Democrat,28,Harry S. Truman
1948,Indiana,Republican,13,Thomas E. Dewey
1948,Iowa,Democrat,10,Harry S. Truman
1948,Kansas,Republican,8,Thomas E. Dewey
1948,Kentucky,Democrat,11,Harry S. Truman
1948,Louisiana,Democrat,10,Harry S. Truman
1948,Maine,Republican,5,Thomas E. Dewey
1948,Maryland,Democrat,8,Harry S. Truman
1948,Massachusetts,Democrat,16,Harry S. Truman
1948,Michigan,Republican,19,Thomas E. Dewey
1948,Minnesota,Democrat,11,Harry S. Truman
1948,Mississippi,States' Rights Democrat,9,J. Strom Thurmond
1948,Missouri,Democrat,15,Harry S. Truman
1948,Montana,Democrat,4,Harry S. Truman
1948,Nebraska,Republican,6,Thomas E. Dewey
1948,Nevada,Democrat,3,Harry S. Truman
1948,New Hampshire,Republican,4,Thomas E. Dewey
1948,New Jersey,Republican,16,Thomas E. Dewey
1948,New Mexico,Democrat,4,Harry S. Truman
1948,New York,Republican,47,Thomas E. Dewey
1948,North Carolina,Democrat,14,Harry S. Truman
1948,North Dakota,Republican,4,Thomas E. Dewey
1948,Ohio,Democrat,25,Harry S. Truman
1948,Oklahoma,Democrat,10,Harry S. Truman
1948,Oregon,Republican,6,Thomas E. Dewey
1948,Pennsylvania,Republican,35,Thomas E. Dewey
1948,Rhode Island,Democrat,4,Harry S. Truman
1948,South Carolina,States' Rights Democrat,8,J. Strom Thurmond
1948,South Dakota,Republican,4,Thomas E. Dewey
1948,Tennessee,Democrat,11,Harry S. Truman
1948,Texas,Democrat,23,Harry S. Truman
1948,Utah,Democrat,4,Harry S. Truman
1948,Vermont,Republican,3,Thomas E. Dewey
1948,Virginia,Democrat,11,Harry S. Truman
1948,Washington,Democrat,8,Harry S. Truman
1948,West Virginia,Democrat,8,Harry S. Truman
1948,Wisconsin,Democrat,12,Harry S. Truman
1948,Wyoming,Republican,3,Thomas E. Dewey
1944,Alabama,Democrat,11,Franklin D. Roosevelt
1944,Alaska,Vacant State,0,
1944,Arizona,Democrat,4,Franklin D. Roosevelt
1944,Arkansas,Democrat,9,Franklin D. Roosevelt
1944,California,Democrat,25,Franklin D. Roosevelt
1944,Colorado,Republican,6,Thomas E. Dewey
1944,Connecticut,Democrat,8,Franklin D. Roosevelt
1944,Delaware,Democrat,3,Franklin D. Roosevelt
1944,Florida,Democrat,8,Franklin D. Roosevelt
1944,Georgia,Democrat,12,Franklin D. Roosevelt
1944,Hawaii,Vacant State,0,
1944,Idaho,Democrat,4,Franklin D. Roosevelt
1944,Illinois,Democrat,28,Franklin D. Roosevelt
1944,Indiana,Republican,13,Thomas E. Dewey
1944,Iowa,Republican,10,Thomas E. Dewey
1944,Kansas,Republican,8,Thomas E. Dewey
1944,Kentucky,Democrat,11,Franklin D. Roosevelt
1944,Louisiana,Democrat,10,Franklin D. Roosevelt
1944,Maine,Republican,5,Thomas E. Dewey
1944,Maryland,Democrat,8,Franklin D. Roosevelt
1944,Massachusetts,Democrat,16,Franklin D. Roosevelt
1944,Michigan,Democrat,19,Franklin D. Roosevelt
1944,Minnesota,Democrat,11,Franklin D. Roosevelt
1944,Mississippi,Democrat,9,Franklin D. Roosevelt
1944,Missouri,Democrat,15,Franklin D. Roosevelt
1944,Montana,Democrat,4,Franklin D. Roosevelt
1944,Nebraska,Republican,6,Thomas E. Dewey
1944,Nevada,Democrat,3,Franklin D. Roosevelt
1944,New Hampshire,Democrat,4,Franklin D. Roosevelt
1944,New Jersey,Democrat,16,Franklin D. Roosevelt
1944,New Mexico,Democrat,4,Franklin D. Roosevelt
1944,New York,Democrat,47,Franklin D. Roosevelt
1944,North Carolina,Democrat,14,Franklin D. Roosevelt
1944,North Dakota,Republican,4,Thomas E. Dewey
1944,Ohio,Republican,25,Thomas E. Dewey
1944,Oklahoma,Democrat,10,Franklin D. Roosevelt
1944,Oregon,Democrat,6,Franklin D. Roosevelt
1944,Pennsylvania,Democrat,35,Franklin D. Roosevelt
1944,Rhode Island,Democrat,4,Franklin D. Roosevelt
1944,South Carolina,Democrat,8,Franklin D. Roosevelt
1944,South Dakota,Republican,4,Thomas E. Dewey
1944,Tennessee,Democrat,12,Franklin D. Roosevelt
1944,Texas,Democrat,23,Franklin D. Roosevelt
1944,Utah,Democrat,4,Franklin D. Roosevelt
1944,Vermont,Republican,3,Thomas E. Dewey
1944,Virginia,Democrat,11,Franklin D. Roosevelt
1944,Washington,Democrat,8,Franklin D. Roosevelt
1944,West Virginia,Democrat,8,Franklin D. Roosevelt
1944,Wisconsin,Republican,12,Thomas E. Dewey
1944,Wyoming,Republican,3,Thomas E. Dewey
1944,"Washington, D.C.",Vacant State,0,
1940,Alabama,Democrat,11,Franklin D. Roosevelt
1940,Alaska,Vacant State,0,
1940,Arizona,Democrat,3,Franklin D. Roosevelt
1940,Arkansas,Democrat,9,Franklin D. Roosevelt
1940,California,Democrat,22,Franklin D. Roosevelt
1940,Colorado,Republican,6,Wendell L. Willkie
1940,Connecticut,Democrat,8,Franklin D. Roosevelt
1940,Delaware,Democrat,3,Franklin D. Roosevelt
1940,Florida,Democrat,7,Franklin D. Roosevelt
1940,Georgia,Democrat,12,Franklin D. Roosevelt
1940,Hawaii,Vacant State,0,
